title,company,location,date_posted,job_url
"Team Lead - Application development (Web, AI & ML)",Bosch,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=116dd80bd4609627
Algorithm Developer - ADAS,,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=75f8c8f16746bdba
Algorithm Developer - ADAS,,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=5bbeb0fa5346e0c6
Algorithm Developer - ADAS,,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=dfd66f634cee4801
Algorithm Developer - ADAS,,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=693b84d978fb8928
Lead Data Scientist,Smiths Group,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=88fea6cc252a8989
RPA Engineer,Betsol,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=89255e4331da5a8e
"Engineer, Senior Staff/Manager",Qualcomm,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=63565e2c21e9f781
"Director, Engineering",Qualcomm,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=6b250ace4f6d7173
GenAI / Cloud / Terraform Engineer,Delphic Global,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=957d91ab61962659
RPA Engineer,Betsol,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=87019ae6445dc6a5
Gen AI Developer,Kandor people,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=e5dd91d6321bac3a
Application Developer (AI/ML/LLM),AMRADNET India,"KA, IN",2026-06-18,https://in.indeed.com/viewjob?jk=66eda41ac0b47bd0
Systems Integration Analyst,NTT DATA,"KA, IN",2026-06-17,https://in.indeed.com/viewjob?jk=4449a6982390c550
Systems Integration Analyst,NTT DATA,"KA, IN",2026-06-17,https://in.indeed.com/viewjob?jk=a1fce7b75fb67af6
Systems Integration Analyst,NTT DATA,"KA, IN",2026-06-17,https://in.indeed.com/viewjob?jk=49c6cfd45763d6e1
Systems Integration Analyst,NTT DATA,"KA, IN",2026-06-17,https://in.indeed.com/viewjob?jk=f25d0395cba8089e
Systems Dev Spec,Thermo Fisher Scientific,"KA, IN",2026-06-17,https://in.indeed.com/viewjob?jk=e2889e9abdf8923e
"Data Scientist II, FinAuto",Amazon.com,"KA, IN",2026-05-29,https://in.indeed.com/viewjob?jk=703c19241858c036
Technology Consulting IC4,Microsoft,"KA, IN",2026-05-07,https://in.indeed.com/viewjob?jk=5da89853a45cb370
